rule_id,rule_family,scope,target_adr,spacing_adr,two_sided_grid,reset_limit_per_week,runner_fraction,account_emergency_sl_adr,base_rule_id,flip_policy,weekly_side_mode,fully_hedged_reference,reference_only,closed_total_adr,final_equity_adr,equity_profit_factor,closed_profit_factor,max_equity_drawdown_adr,final_open_unrealized_adr,worst_week_end_open_unrealized_adr,closed_adr_retention_vs_gate74e_focus,final_equity_retention_vs_gate74e_focus,top20_winner_retention_vs_weekly_forced,worst_week_loss_adr,worst_5_week_loss_adr,worst_13_week_loss_adr,negative_years,mtm_weekly_win_rate,closed_weekly_win_rate,mtm_monthly_win_rate,closed_monthly_win_rate,time_in_drawdown_weeks,longest_drawdown_weeks,equity_curve_roughness_adr,closed_cycles,target_reset_cycles,account_reset_events,account_emergency_sl_events,flip_loss_adr,flip_event_count,warehouse_position_count,warehouse_recovered_count,warehouse_recovery_rate,warehouse_final_unresolved_loss_adr,average_warehouse_duration_hours,max_warehouse_duration_hours,negative_cycles,recovered_negative_cycles,negative_cycle_recovery_rate,fill_count,adverse_recovery_fill_count,favorable_expansion_fill_count,closed_adr_from_initial_fills,closed_adr_from_recovery_fills,closed_adr_from_expansion_fills,average_closed_cycle_hold_hours,max_cycle_mfe_adr,total_giveback_adr,content_hash
WEEKLY_FORCED_CLOSE,control,pair,,,false,,,,,current_forced_flip_close,,false,false,638.115405,638.115405,1.414187,1.414187,-116.795157,0,0,0.044371,0.064449,1,-31.994789,-55.237608,-91.084942,1,0.520107,0.520107,0.593023,0.593023,303,34,9.971597,10444,0,0,0,0,0,0,0,,0,,,10400,5278,0.5075,10444,0,0,638.115405,0,0,111,9.745897,11444.855725,25B29160EFD8FBA8C24552C2B36221196145266D85AFBF704BC87BAF88DA399A
CARRY_UNTIL_FLIP,control,pair,,,false,,,,,current_forced_flip_close,,false,false,694.688146,597.519846,1.349786,2.198218,-167.030217,-97.1683,-139.631661,0.048305,0.060348,0.988383,-36.95747,-61.267983,-93.469827,2,0.509383,0.49866,0.593023,0.639535,307,60,10.761427,902,0,0,0,-963.436728,902,0,0,,0,,,923,0,0,902,0,0,694.688146,0,0,504,67.010772,2277.797162,FF0A8F092DE983486444A62A7E03716D2ABCA7F2FBB4160ECA8429F9A10CD94B
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,pair,0.75,0.2,false,,,,,current_forced_flip_close,,false,false,14381.312614,9901.156008,1.254319,3.813599,-5462.545131,-4480.156606,-5730.416295,1,1,16.1365,-1582.117861,-2392.383436,-3908.06394,1,0.533512,0.89008,0.662791,0.918605,280,42,235.295862,29202,28300,0,0,-10815.950986,902,0,0,,0,,,28456,27545,0.967986,124689,95487,0,694.063804,13687.248787,0,22.716667,53.563337,11046.86115,F3EB42476507A616ED34D3C426F29B078DDAA64CC402936C78AE59C526BE2880
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,pair,1.5,0.2,true,,,,,current_forced_flip_close,,false,false,18012.423714,12295.79489,1.282295,3.666998,-7565.450203,-5716.628824,-7946.092545,1.252488,1.241854,18.703482,-1570.62905,-3070.92484,-4839.296978,2,0.544236,0.882038,0.639535,0.895349,278,41,266.511438,19605,18703,0,0,-14668.815258,902,0,0,,0,,,19282,18355,0.951924,129588,79815,30168,698.96308,15606.245343,1707.215318,31.683333,31.205943,15173.387931,189B18A65059F636E4D227FC600FC677A24217B019E8FF588E4D04D99013924A
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,pair_reset_limit,pair,0.75,0.2,true,2,,,,current_forced_flip_close,,false,false,10518.784081,10137.547558,1.619273,7.680391,-1394.242003,-381.236523,-1850.992699,0.73142,1.023875,6.237548,-1029.767911,-1219.040918,-1308.382024,1,0.61126,0.914209,0.686047,0.953488,223,21,114.953694,16445,16275,0,0,-3789.579526,170,0,0,,0,,,15968,15787,0.988665,80554,47416,16693,422.950133,9494.227543,601.606427,16.1,34.556042,3850.452557,5A8C8292E61B9B008756DA86A7C195F62AD3911F46623BC2997940A42C02C8FD
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,pair,0.75,0.2,true,3,,,,current_forced_flip_close,,false,false,14021.947533,11713.727501,1.51746,9.245321,-1811.737115,-2308.220032,-2627.126459,0.975012,1.183067,9.623613,-1139.447341,-1634.856483,-1801.272614,1,0.613941,0.91689,0.709302,0.965116,232,23,152.781926,21969,21658,0,0,-5132.272395,311,0,0,,0,,,21358,21035,0.984877,107731,63510,22252,516.77013,12691.814431,813.362931,16.333333,28.620761,5242.433744,ECBDC1D582A9EC51C73B2E49242787E61A79DFECA9B1BA262E91E7E3DF051FC6
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,pair,1,0.2,true,3,,,,current_forced_flip_close,,false,false,16124.084275,13772.999764,1.561828,8.468468,-1989.442654,-2351.084511,-3001.945057,1.121183,1.39105,11.769378,-1151.146735,-1623.435434,-1989.442654,1,0.595174,0.919571,0.755814,0.953488,233,25,168.370602,19769,19367,0,0,-6297.282489,402,0,0,,0,,,19333,18912,0.978224,106080,65843,20468,597.924879,14539.545594,986.613805,22.7,25.528312,6465.432528,D4569DD5BF9C49B8A56A5696BD11D42400D33CF61087E9BC8183A2CD059F2A45
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,pair,1.25,0.2,true,3,,,,current_forced_flip_close,,false,false,17485.463669,13018.163434,1.440649,8.353254,-4074.085132,-4467.300235,-5032.162889,1.215846,1.314812,13.394478,-1333.160859,-2305.981966,-3299.95095,1,0.592493,0.91689,0.72093,0.953488,244,27,193.309624,17713,17218,0,0,-7245.973831,495,0,0,,0,,,17399,16882,0.970286,110454,66112,26629,598.005173,15664.490386,1222.968135,27.383333,25.528312,7506.47927,221E77CDACEF422FF0CF5505929F9C907168127F12047521608BD0BB46D1BFD3
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,pair,1,0.2,true,3,,,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,,false,true,16193.653693,13842.569182,1.563144,8.461062,-1992.408147,-2351.084511,-3001.945057,1.126021,1.398076,11.771937,-1151.146735,-1634.5264,-1992.408147,1,0.600536,0.914209,0.744186,0.953488,232,25,168.912456,19769,19367,0,0,0,58,344,177,0.514535,0,7.625,2184,19333,19089,0.987379,106080,65843,20468,613.849074,14576.603322,1003.201326,22.7,25.528312,6401.317358,045B5785C8E8E229F17F83603DA08F9D5C9D29198B810DAE4AC7DCEEDCA30DD2
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,pair,1,0.2,true,3,,,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,,false,true,16511.607861,14160.52335,1.564245,7.840712,-1694.811188,-2351.084511,-3043.178003,1.148129,1.430189,11.5312,-1151.146735,-1578.927434,-1660.82999,1,0.592493,0.908847,0.732558,0.953488,246,25,172.529069,19769,19367,0,0,0,58,344,196,0.569767,0,81.641667,169,19333,19108,0.988362,106080,65843,20468,607.451665,14913.551379,990.60482,22.7,25.528312,6096.634875,ADE71F7F59D926A442B36194D0ED5B62A757CA4EE167B68CB44954AFFB0DEE63
